TID,PID,#,A,W,ID,T,sX,sY,sZ,tX,tY,tZ,dX,dY,dZ,dP
0,4,1,0.7,0.06,3.6629650489293,0.6407814,-0.7848996,1.043956,-0.01037067,-0.7831559,1.044275,0,0.001743734,0.0003194809,0.01037067,0.00177275940197595
0,4,2,0.7,0.06,3.6629650489293,0.5576172,-0.3827358,1.577211,0.002699554,-0.3918441,1.58287,0,0.009108245,0.005659223,0.002699554,0.0107231960832193
0,4,3,0.7,0.06,3.6629650489293,0.6419868,-0.3883761,0.9046879,0.01210487,-0.391844,0.9171302,0,0.003467858,0.01244229,0.01210487,0.012916525767763
0,4,4,0.7,0.06,3.6629650489293,0.5982475,-0.7849721,1.458435,0.01038051,-0.783156,1.455725,0,0.001816154,0.002710104,0.01038051,0.00326237294931115
0,4,5,0.7,0.06,3.6629650489293,0.6819458,-0.1429678,1.24091,0.00107795,-0.15,1.25,0,0.007032216,0.009090066,0.00107795,0.0114926652811498
0,4,1,0.6,0.06,3.45943174371558,0.5157204,-0.7522622,1.048894,0.005311251,-0.742705,1.073664,0,0.009557128,0.02477026,0.005311251,0.0265500370638915
0,4,2,0.6,0.06,3.45943174371558,0.5154686,-0.4203809,1.516351,0.007906497,-0.4072949,1.535317,0,0.01308605,0.0189656,0.007906497,0.0230421088537867
0,4,3,0.6,0.06,3.45943174371558,0.4467049,-0.4225677,0.9451346,0.01338798,-0.4072949,0.9646831,0,0.01527283,0.01954848,0.01338798,0.0248072996624311
0,4,4,0.6,0.06,3.45943174371558,0.5000343,-0.7393258,1.418043,-0.008274496,-0.7427051,1.426336,0,0.003379285,0.008292317,0.008274496,0.00895444566027546
0,4,5,0.6,0.06,3.45943174371558,0.584816,-0.2045634,1.240731,-0.00122416,-0.2,1.25,0,0.004563391,0.009268761,0.00122416,0.0103312372873556
0,4,1,0.6,0.1,2.8073549220576,0.4876175,-0.7578593,1.068568,-0.02983427,-0.742705,1.073664,0,0.01515424,0.00509584,0.02983427,0.0159880782595858
0,4,2,0.6,0.1,2.8073549220576,0.417675,-0.4073487,1.519737,-0.02305609,-0.4072949,1.535317,0,5.379319E-05,0.0155803,0.02305609,0.0155803893804685
0,4,3,0.6,0.1,2.8073549220576,0.4317169,-0.3988414,0.9593645,0.01296014,-0.4072949,0.9646831,0,0.008453459,0.005318582,0.01296014,0.00998740589557856
0,4,4,0.6,0.1,2.8073549220576,0.5012512,-0.733749,1.423918,-0.01388025,-0.7427051,1.426336,0,0.008956075,0.002417326,0.01388025,0.0092765693635521
0,4,5,0.6,0.1,2.8073549220576,0.5436897,-0.2082634,1.246068,-0.001735866,-0.2,1.25,0,0.008263409,0.003932476,0.001735866,0.00915140964069112
0,4,1,0.5,0.1,2.58496250072116,0.445015,-0.695801,1.099383,-0.02095437,-0.7022542,1.103054,0,0.006453156,0.003670812,0.02095437,0.00742415561766287
0,4,2,0.5,0.1,2.58496250072116,0.4048347,-0.4275646,1.486459,-0.01200563,-0.4227458,1.487764,0,0.004818797,0.001305342,0.01200563,0.00499246658570676
0,4,3,0.5,0.1,2.58496250072116,0.4445915,-0.4339608,1.003846,-0.0001545548,-0.4227457,1.012236,0,0.01121512,0.008389592,0.0001545548,0.0140058625521963
0,4,4,0.5,0.1,2.58496250072116,0.501976,-0.7033561,1.399641,-0.001730919,-0.7022543,1.396946,0,0.001101792,0.002694964,0.001730919,0.00291149076332704
0,4,5,0.5,0.1,2.58496250072116,0.5013313,-0.2628294,1.267381,-0.0305602,-0.25,1.25,0,0.01282942,0.01738071,0.0305602,0.0216028546001948
0,4,1,0.7,0.1,3,0.6003609,-0.7673326,1.045445,-0.0159151,-0.7831559,1.044275,0,0.01582325,0.001169682,0.0159151,0.0158664185874395
