T,TID,PID,X,Y,Z
34.30418,0,4,-0.4926579,0.9705597,-0.139547
34.31157,0,4,-0.4826696,1.006912,-0.1296734
34.31681,0,4,-0.4764984,1.024305,-0.1249841
34.32997,0,4,-0.4669082,1.045865,-0.1187288
34.36814,0,4,-0.4554139,1.06852,-0.1127895
34.38232,0,4,-0.4466788,1.085832,-0.1090456
34.39599,0,4,-0.4363733,1.102627,-0.106173
34.41033,0,4,-0.4259056,1.117145,-0.1040838
34.42496,0,4,-0.4166282,1.130011,-0.1020428
34.43962,0,4,-0.4061322,1.141105,-0.09987181
34.45452,0,4,-0.3959936,1.151457,-0.09757996
34.47226,0,4,-0.385836,1.160766,-0.09562093
34.48953,0,4,-0.3762844,1.169101,-0.09403974
34.50595,0,4,-0.366816,1.174901,-0.09396857
34.52244,0,4,-0.358546,1.181494,-0.09365588
34.53748,0,4,-0.3502867,1.187707,-0.09319884
34.55232,0,4,-0.3415214,1.19328,-0.09306395
34.56717,0,4,-0.3333461,1.198743,-0.09298939
34.58282,0,4,-0.3253445,1.203379,-0.09345561
34.59643,0,4,-0.3170769,1.208364,-0.09358931
34.61159,0,4,-0.3081878,1.213505,-0.09347922
34.62641,0,4,-0.2990097,1.21811,-0.09264785
34.64042,0,4,-0.2905169,1.222518,-0.09139627
34.65472,0,4,-0.2817216,1.226771,-0.08838511
34.6683,0,4,-0.2724328,1.231759,-0.08536285
34.68425,0,4,-0.2617735,1.237486,-0.08078414
34.69709,0,4,-0.2510266,1.242715,-0.07632709
34.71089,0,4,-0.2398201,1.247448,-0.07103437
34.72598,0,4,-0.2291111,1.251777,-0.06534451
34.74023,0,4,-0.2190478,1.255613,-0.05939847
34.75357,0,4,-0.2101951,1.25813,-0.05201584
34.76771,0,4,-0.2026671,1.259656,-0.04483759
34.78164,0,4,-0.1956937,1.260632,-0.03768587
34.79554,0,4,-0.1881369,1.26215,-0.03103262
34.81049,0,4,-0.1805215,1.263637,-0.02469581
34.82398,0,4,-0.1729418,1.264219,-0.01852518
34.83768,0,4,-0.1666233,1.264478,-0.01308846
34.85131,0,4,-0.1614916,1.264319,-0.008005619
34.8662,0,4,-0.1581242,1.262822,-0.002519608
34.87978,0,4,-0.1557043,1.26081,0.002745628
34.89317,0,4,-0.1544918,1.258226,0.007468104
34.91026,0,4,-0.1563019,1.255098,0.01177889
34.92171,0,4,-0.1578306,1.252013,0.01382393
34.93438,0,4,-0.1588589,1.249731,0.01643115
34.94973,0,4,-0.1601262,1.24669,0.01828116
34.96355,0,4,-0.162071,1.243911,0.02002764
34.97756,0,4,-0.1670414,1.240926,0.02095425
34.99097,0,4,-0.1723869,1.238471,0.02183217
35.00674,0,4,-0.1788383,1.236597,0.02184898
35.0191,0,4,-0.1850424,1.235791,0.02086538
35.03191,0,4,-0.1920499,1.235648,0.018879
35.04729,0,4,-0.2023723,1.234825,0.0172438
35.06087,0,4,-0.2154675,1.23201,0.01713282
35.07487,0,4,-0.2295999,1.228337,0.01803553
35.08915,0,4,-0.2448394,1.223684,0.01650822
35.10263,0,4,-0.2613508,1.221046,0.01530308
35.11616,0,4,-0.2780526,1.216963,0.0146395
35.13063,0,4,-0.2968468,1.212677,0.01402271
35.14473,0,4,-0.3155761,1.207914,0.01279002
35.1585,0,4,-0.3359589,1.201885,0.01183456
35.1725,0,4,-0.3569395,1.195458,0.01085424
35.18615,0,4,-0.3793346,1.18807,0.01012009
35.19991,0,4,-0.402658,1.179953,0.009261191
35.21408,0,4,-0.4264223,1.172101,0.007394969
35.22783,0,4,-0.4489744,1.164647,0.00541383
35.24236,0,4,-0.4708456,1.157341,0.003788292
35.25561,0,4,-0.4931088,1.149718,0.001995444
35.26986,0,4,-0.5150455,1.141693,0.0002583861
35.2836,0,4,-0.5363463,1.134105,-0.001432002
35.29762,0,4,-0.556928,1.127365,-0.003332913
35.31192,0,4,-0.5766644,1.120473,-0.005216837
35.32545,0,4,-0.5955641,1.113185,-0.006658018
35.33948,0,4,-0.6141721,1.106186,-0.008273423
35.3534,0,4,-0.6317722,1.099615,-0.01008314
35.3671,0,4,-0.6478655,1.094126,-0.01155585
35.38113,0,4,-0.6623566,1.089791,-0.01275802
35.39552,0,4,-0.6745296,1.086956,-0.01281798
35.40934,0,4,-0.6875221,1.08308,-0.01318824
35.42342,0,4,-0.6997526,1.078975,-0.01319635
35.43662,0,4,-0.7116953,1.074707,-0.01361269
35.45091,0,4,-0.7228653,1.070299,-0.01358074
35.4646,0,4,-0.7326958,1.0662,-0.01263297
35.47863,0,4,-0.7421343,1.062194,-0.01153982
35.4945,0,4,-0.7501698,1.059007,-0.01015007
35.5058,0,4,-0.7559705,1.057821,-0.00834161
35.51932,0,4,-0.7620425,1.055646,-0.006644964
35.5333,0,4,-0.7674587,1.053413,-0.005333662
35.54835,0,4,-0.7734678,1.049014,-0.006264925
35.56258,0,4,-0.7781541,1.04606,-0.006595373
35.57825,0,4,-0.7823366,1.043516,-0.008476734
35.59052,0,4,-0.7848996,1.043956,-0.01037067
35.6054,0,4,-0.7855597,1.046159,-0.01082021
35.6202,0,4,-0.783672,1.051553,-0.009223044
35.63158,0,4,-0.7790113,1.061221,-0.006898701
35.64546,0,4,-0.7723274,1.074906,-0.006496668
35.66001,0,4,-0.767139,1.087181,-0.007451653
35.67608,0,4,-0.760891,1.100516,-0.00799495
35.68774,0,4,-0.7529483,1.115015,-0.008428872
35.70148,0,4,-0.7424256,1.132155,-0.008851588
35.71632,0,4,-0.7323836,1.14803,-0.009003222
35.72921,0,4,-0.7233612,1.164332,-0.01285994
35.74447,0,4,-0.7115479,1.181494,-0.01070726
35.75821,0,4,-0.7005165,1.199668,-0.0115391
35.77097,0,4,-0.6875979,1.219371,-0.01353353
35.78622,0,4,-0.6751317,1.238887,-0.01404274
35.7999,0,4,-0.6598707,1.260568,-0.01404238
35.81294,0,4,-0.6442717,1.282,-0.0140149
35.82778,0,4,-0.6293825,1.302686,-0.01380789
35.84232,0,4,-0.6128284,1.325007,-0.01414281
35.85565,0,4,-0.5968165,1.346754,-0.01498508
35.86876,0,4,-0.5794256,1.36958,-0.01638484
35.88369,0,4,-0.5621473,1.391078,-0.01729202
35.89857,0,4,-0.545438,1.411413,-0.01881164
35.91138,0,4,-0.5292102,1.430795,-0.02013314
35.92541,0,4,-0.5138479,1.448552,-0.02141148
35.93973,0,4,-0.4988784,1.465575,-0.02248126
35.95235,0,4,-0.4841179,1.481364,-0.0229286
35.96698,0,4,-0.469678,1.495555,-0.02321792
35.98168,0,4,-0.4556397,1.509236,-0.02397209
35.9947,0,4,-0.443102,1.520794,-0.02442813
36.00948,0,4,-0.4319904,1.531736,-0.02474928
36.02396,0,4,-0.4223698,1.541492,-0.02489167
36.03661,0,4,-0.4144336,1.549686,-0.0236975
36.0506,0,4,-0.406504,1.557502,-0.02179563
36.06452,0,4,-0.3992109,1.564295,-0.01873082
36.07928,0,4,-0.3930887,1.5697,-0.01481217
36.09234,0,4,-0.3900643,1.572416,-0.009835541
36.10704,0,4,-0.3874745,1.574797,-0.006093323
36.12147,0,4,-0.3855518,1.575706,-0.00191462
36.13372,0,4,-0.3824669,1.577378,0.001039982
36.14813,0,4,-0.3827358,1.577211,0.002699554
36.16305,0,4,-0.3844891,1.576809,0.004112422
36.17664,0,4,-0.3875089,1.575331,0.005256534
36.19002,0,4,-0.3902941,1.572715,0.006171405
36.20515,0,4,-0.3914492,1.569178,0.006415546
36.21829,0,4,-0.3918949,1.564985,0.005731702
36.2314,0,4,-0.3915764,1.559694,0.002830684
36.24686,0,4,-0.3908316,1.554726,-0.0007814169
36.26463,0,4,-0.3911185,1.550085,-0.003773808
36.27324,0,4,-0.3919928,1.540598,-0.008064091
36.28656,0,4,-0.3925679,1.531639,-0.01055658
36.30111,0,4,-0.3941435,1.518372,-0.01343501
36.31499,0,4,-0.3959375,1.504987,-0.01704866
36.32899,0,4,-0.398848,1.487096,-0.02138698
36.34441,0,4,-0.4008105,1.471439,-0.02506912
36.35683,0,4,-0.4025516,1.451722,-0.0269708
36.37074,0,4,-0.4039093,1.431351,-0.02770966
36.38598,0,4,-0.4044239,1.408249,-0.02749527
36.39893,0,4,-0.4045449,1.38369,-0.02670389
36.41277,0,4,-0.4036574,1.35729,-0.02639139
36.42758,0,4,-0.4026244,1.334141,-0.02629572
36.44156,0,4,-0.4018414,1.308706,-0.02468199
36.45408,0,4,-0.4023356,1.282753,-0.02304554
36.46887,0,4,-0.4036127,1.254037,-0.02111804
36.48298,0,4,-0.4034326,1.227206,-0.01939291
36.49643,0,4,-0.4015563,1.202182,-0.01727265
36.51062,0,4,-0.3982819,1.178061,-0.01464725
36.52546,0,4,-0.3951135,1.154119,-0.01238942
36.53914,0,4,-0.3924565,1.130954,-0.0106678
36.55207,0,4,-0.39094,1.109149,-0.009462774
36.5672,0,4,-0.3895885,1.088932,-0.008294761
36.58068,0,4,-0.3880468,1.069736,-0.007245123
36.59391,0,4,-0.3866311,1.0516,-0.007109463
36.60984,0,4,-0.3846048,1.034822,-0.006431222
36.62227,0,4,-0.3829029,1.019874,-0.00557065
36.6351,0,4,-0.3834777,1.006592,-0.005667329
36.64935,0,4,-0.383884,0.993013,-0.005424857
36.66445,0,4,-0.3834451,0.9813598,-0.004399836
36.67817,0,4,-0.3823243,0.9707682,-0.002791643
36.69112,0,4,-0.3820281,0.960279,-0.0009727478
36.7066,0,4,-0.3824669,0.9497344,0.001178086
36.71974,0,4,-0.3833102,0.9393565,0.00317359
36.73265,0,4,-0.3856395,0.9298526,0.004957318
36.74752,0,4,-0.3881831,0.9206165,0.007099569
36.76058,0,4,-0.3894154,0.9133309,0.008369625
36.77578,0,4,-0.3886518,0.9084389,0.01014745
36.79012,0,4,-0.3883761,0.9046879,0.01210487
36.80244,0,4,-0.388134,0.9015112,0.01403236
36.81562,0,4,-0.3891607,0.9015308,0.0161919
36.83106,0,4,-0.3911048,0.903638,0.01815164
36.84434,0,4,-0.3943554,0.909151,0.01997888
36.85814,0,4,-0.399958,0.9201222,0.02150106
36.87231,0,4,-0.4038283,0.9281743,0.02337563
36.88675,0,4,-0.4087369,0.944362,0.02634043
36.90002,0,4,-0.4146041,0.9587844,0.02949446
36.91372,0,4,-0.4224545,0.9744675,0.03266406
36.92825,0,4,-0.4339206,0.9866449,0.04245305
36.94315,0,4,-0.4426453,1.007689,0.03828537
36.95588,0,4,-0.4544928,1.02848,0.04071754
36.97,0,4,-0.4670078,1.048153,0.0419786
36.98387,0,4,-0.4804149,1.068665,0.04248881
36.99799,0,4,-0.4960797,1.089612,0.04312354
37.01247,0,4,-0.5113984,1.110023,0.0425719
37.02594,0,4,-0.5274376,1.13029,0.04147822
37.04012,0,4,-0.5440852,1.150501,0.03964418
37.05415,0,4,-0.5601322,1.170419,0.03790414
37.06742,0,4,-0.5761687,1.191066,0.03523773
37.08196,0,4,-0.5920027,1.210909,0.03237814
37.09545,0,4,-0.6081513,1.22974,0.02924335
37.11081,0,4,-0.6240335,1.247607,0.02600646
37.12407,0,4,-0.6396911,1.264738,0.02297461
37.13766,0,4,-0.6548017,1.281521,0.02006531
37.1522,0,4,-0.669111,1.297343,0.01785636
37.16568,0,4,-0.6824015,1.313361,0.01628661
37.17947,0,4,-0.6947814,1.327922,0.01481551
37.19364,0,4,-0.7066509,1.341475,0.0133363
37.20823,0,4,-0.7176712,1.353965,0.01232386
37.22165,0,4,-0.7284237,1.366082,0.01103622
37.2351,0,4,-0.7378254,1.37793,0.009515226
37.24869,0,4,-0.7466565,1.389697,0.008344471
37.26317,0,4,-0.7554165,1.400144,0.00743413
37.27754,0,4,-0.7627388,1.409083,0.007507265
37.29163,0,4,-0.7694039,1.418925,0.007304549
37.30514,0,4,-0.7744016,1.428938,0.00705117
37.31887,0,4,-0.7775326,1.437813,0.006985366
37.33263,0,4,-0.7806504,1.445331,0.007193267
37.3468,0,4,-0.7842422,1.449085,0.008071482
37.36076,0,4,-0.7844452,1.45365,0.01064241
37.37682,0,4,-0.7842925,1.456555,0.0103935
37.38837,0,4,-0.7849721,1.458435,0.01038051
37.40234,0,4,-0.7851442,1.45853,0.01070946
37.41673,0,4,-0.7855594,1.457301,0.01098281
